****************************** PROCRANK MEMORY REPORT FOR PACKAGE: START
### package_name=com.bestv.ott monitor_interval=1
*VSS - Virtual Set Size,    RSS - Resident Set Size,    PSS - Proportional Set Size,    USS - Unique Set Size
*Time   PID       Vss      Rss      Pss      Uss  cmdline
15:50:36   3372   719772K  175900K  151396K  148572K  com.bestv.ott
15:50:39   3372   712064K  171692K  147224K  144412K  com.bestv.ott
15:50:42   3372   733564K  179300K  154722K  151880K  com.bestv.ott
15:50:44   3372   743828K  180984K  156494K  153672K  com.bestv.ott
15:50:47   3372   719084K  180744K  156337K  153528K  com.bestv.ott
15:50:50   3372   715764K  179808K  155399K  152588K  com.bestv.ott
15:50:53   3372   687940K  182396K  158001K  155188K  com.bestv.ott
15:50:55   3372   724632K  195176K  170784K  167972K  com.bestv.ott
15:50:58   3372   712308K  193468K  169076K  166264K  com.bestv.ott
15:51:01   3372   696296K  189112K  164720K  161908K  com.bestv.ott
15:51:04   3372   696200K  189004K  164612K  161800K  com.bestv.ott
15:51:06   3372   696360K  189100K  164708K  161896K  com.bestv.ott
15:51:09   3372   696296K  189088K  164696K  161884K  com.bestv.ott
15:51:12   3372   696360K  189104K  164712K  161900K  com.bestv.ott
15:51:15   3372   696328K  189104K  164712K  161900K  com.bestv.ott
15:51:18   3372   696328K  189108K  164716K  161904K  com.bestv.ott
15:51:20   3372   696360K  189108K  164716K  161904K  com.bestv.ott
15:51:23   3372   696360K  189108K  164716K  161904K  com.bestv.ott
15:51:27   3372   736100K  194756K  170324K  167504K  com.bestv.ott
15:51:29   3372   729212K  192020K  167588K  164768K  com.bestv.ott
15:51:32   3372   707792K  195628K  171188K  168360K  com.bestv.ott
15:51:35   3372   701612K  184540K  160116K  157296K  com.bestv.ott
15:51:37   3372   694640K  172568K  148203K  145392K  com.bestv.ott
15:51:40   3372   688888K  171904K  148067K  145028K  com.bestv.ott
15:51:43   3372   688496K  142544K  118694K  115656K  com.bestv.ott
15:51:46   3372   686800K  156572K  132570K  129452K  com.bestv.ott
15:51:48   3372   695476K  157396K  133395K  130276K  com.bestv.ott
15:51:51   3372   729656K  156384K  132326K  129216K  com.bestv.ott
15:51:54   3372   669064K  157300K  133353K  130280K  com.bestv.ott
15:51:56   3372   697860K  161380K  137403K  134320K  com.bestv.ott
15:51:59   3372   692020K  168144K  144211K  141140K  com.bestv.ott
15:52:02   3372   691268K  168604K  144701K  141640K  com.bestv.ott
15:52:04   3372   690372K  147020K  123117K  120056K  com.bestv.ott
15:52:07   3372   688988K  147104K  123201K  120140K  com.bestv.ott
15:52:10   3372   689180K  147144K  123244K  120180K  com.bestv.ott
15:52:12   3372   688668K  147024K  123124K  120060K  com.bestv.ott
15:52:15   3372   689180K  147144K  123244K  120180K  com.bestv.ott
15:52:18   3372   692224K  147336K  123432K  120372K  com.bestv.ott
15:52:21   3372   692860K  149264K  125318K  122244K  com.bestv.ott
15:52:23   3372   689188K  148996K  125092K  122032K  com.bestv.ott
15:52:26   3372   688988K  147632K  123802K  120664K  com.bestv.ott
15:52:29   3372   689180K  147688K  123858K  120720K  com.bestv.ott
15:52:31   3372   689180K  147692K  123858K  120724K  com.bestv.ott
15:52:34   3372   689148K  147684K  123850K  120716K  com.bestv.ott
15:52:37   3372   675628K  147552K  123715K  120584K  com.bestv.ott
15:52:39   3372   690968K  150908K  127014K  123864K  com.bestv.ott
15:52:42   3372   691852K  152052K  128131K  124972K  com.bestv.ott
15:52:45   3372   676340K  155400K  131531K  128392K  com.bestv.ott
15:52:47   3372   682776K  157720K  133961K  130904K  com.bestv.ott
15:52:50   3372   686200K  159972K  136213K  133156K  com.bestv.ott
15:52:53   3372   688800K  162952K  139184K  136120K  com.bestv.ott
15:52:55   3372   688440K  164092K  140322K  137256K  com.bestv.ott
15:52:58   3372   691660K  168684K  144914K  141848K  com.bestv.ott
15:53:01   3372   696848K  174080K  150309K  147244K  com.bestv.ott
15:53:04   3372   701252K  178140K  154369K  151304K  com.bestv.ott
15:53:06   3372   706872K  183728K  159957K  156892K  com.bestv.ott
15:53:09   3372   704360K  163448K  139677K  136612K  com.bestv.ott
15:53:12   3372   705400K  165692K  141921K  138856K  com.bestv.ott
15:53:15   3372   706180K  166528K  142757K  139692K  com.bestv.ott
15:53:18   3372   708352K  168196K  144425K  141360K  com.bestv.ott
15:53:20   3372   738140K  171388K  147574K  144504K  com.bestv.ott
15:53:23   3372   737864K  171336K  147522K  144452K  com.bestv.ott
15:53:26   3372   700720K  169752K  145938K  142868K  com.bestv.ott
15:53:28   3372   700820K  169844K  146030K  142960K  com.bestv.ott
15:53:31   3372   732924K  169836K  145977K  142904K  com.bestv.ott
15:53:34   3372   733212K  170340K  146435K  143360K  com.bestv.ott
15:53:36   3372   733776K  170648K  146743K  143668K  com.bestv.ott
15:53:38   3372   733584K  170456K  146549K  143476K  com.bestv.ott
15:53:41   3372   733528K  170504K  146597K  143524K  com.bestv.ott
15:53:44   3372   733240K  170328K  146419K  143348K  com.bestv.ott
15:53:47   3372   733372K  170360K  146449K  143376K  com.bestv.ott
15:53:49   3372   701916K  172024K  148113K  145040K  com.bestv.ott
15:53:52   3372   710332K  178916K  155003K  151928K  com.bestv.ott
15:53:55   3372   716564K  186752K  162846K  159772K  com.bestv.ott
15:53:57   3372   703080K  184792K  160886K  157812K  com.bestv.ott
15:54:00   3372   703016K  178516K  154605K  151536K  com.bestv.ott
15:54:02   3372   702856K  178480K  154568K  151500K  com.bestv.ott
15:54:05   3372   702984K  178520K  154608K  151540K  com.bestv.ott
15:54:08   3372   702856K  178408K  154495K  151428K  com.bestv.ott
15:54:11   3372   702984K  178488K  154575K  151508K  com.bestv.ott
15:54:13   3372   706092K  178700K  154785K  151720K  com.bestv.ott
15:54:16   3372   706092K  178704K  154789K  151724K  com.bestv.ott
15:54:19   3372   686464K  179456K  155541K  152476K  com.bestv.ott
15:54:21   3372   686464K  179456K  155541K  152476K  com.bestv.ott
15:54:24   3372   686464K  179456K  155540K  152476K  com.bestv.ott
15:54:27   3372   686464K  179456K  155540K  152476K  com.bestv.ott
15:54:29   3372   686464K  179456K  155534K  152476K  com.bestv.ott
15:54:32   3372   686464K  179456K  155437K  152436K  com.bestv.ott
