指定应用的CPU内存监控情况
应用包名：,tv.fun.launcher
应用名称: ,tv.fun.launcher
应用PID: ,5207
机器内存大小(MB)：,739.88MB
机器CPU型号：, ARMv7 Processor rev 3 (v7l)
机器android系统版本：,4.2.2
手机型号：,M8_SDK1.0
UID：,10000
时间,应用占用内存PSS(MB),应用占用内存比(%), 机器剩余内存(MB),应用占用CPU率(%),CPU总使用率(%),流量(KB),电量(%),电流(mA),温度(C),电压(V)
2014-11-28 16:18:52,125.93,17.02,243.93,18.25,30.88,49228,0%,0mA,30.0,0.001
2014-11-28 16:18:58,120.04,16.22,243.01,25.29,45.99,49555,0%,0mA,30.0,0.001
2014-11-28 16:19:03,113.84,15.39,249.22,18.05,27.17,50238,0%,0mA,30.0,0.001
2014-11-28 16:19:08,115.22,15.57,246.35,17.55,29.12,51931,0%,0mA,30.0,0.001
2014-11-28 16:19:14,111.51,15.07,246.92,30.56,50.41,53180,0%,0mA,30.0,0.001
2014-11-28 16:19:19,109.15,14.75,251.41,15.30,28.30,53369,0%,0mA,30.0,0.001
2014-11-28 16:19:25,114.09,15.42,253.93,22.74,38.00,53375,0%,0mA,30.0,0.001
2014-11-28 16:19:30,115.50,15.61,252.93,13.94,25.18,53377,0%,0mA,30.0,0.001
2014-11-28 16:19:35,109.68,14.82,257.96,5.17,11.88,53377,0%,0mA,30.0,0.001
2014-11-28 16:19:41,110.47,14.93,257.52,5.90,17.18,53379,0%,0mA,30.0,0.001
2014-11-28 16:19:46,109.59,14.81,252.43,16.63,28.47,53459,0%,0mA,30.0,0.001
2014-11-28 16:19:52,126.96,17.16,223.14,17.43,46.84,75943,0%,0mA,30.0,0.001
2014-11-28 16:19:57,124.59,16.84,225.77,5.63,19.68,76354,0%,0mA,30.0,0.001
2014-11-28 16:20:02,129.03,17.44,220.08,9.69,19.71,76354,0%,0mA,30.0,0.001
2014-11-28 16:20:08,137.91,18.64,210.21,7.98,14.48,84652,0%,0mA,30.0,0.001
2014-11-28 16:20:13,143.56,19.40,204.20,8.35,26.35,95042,0%,0mA,30.0,0.001
